=============== 
tabla del 3 
=============== 
  3 X 0  = 0
  3 X 1  = 3
  3 X 2  = 6
  3 X 3  = 9
  3 X 4  = 12
  3 X 5  = 15
  3 X 6  = 18
  3 X 7  = 21
  3 X 8  = 24
  3 X 9  = 27
  3 X 10  = 30
  3 X 11  = 33
  3 X 12  = 36
  3 X 13  = 39
  3 X 14  = 42
  3 X 15  = 45
  3 X 16  = 48
  3 X 17  = 51
  3 X 18  = 54
  3 X 19  = 57
  3 X 20  = 60
  3 X 21  = 63
  3 X 22  = 66
  3 X 23  = 69
  3 X 24  = 72
  3 X 25  = 75
  3 X 26  = 78
  3 X 27  = 81
  3 X 28  = 84
  3 X 29  = 87
  3 X 30  = 90
  3 X 31  = 93
  3 X 32  = 96
  3 X 33  = 99
  3 X 34  = 102
  3 X 35  = 105
  3 X 36  = 108
  3 X 37  = 111
  3 X 38  = 114
  3 X 39  = 117
  3 X 40  = 120
  3 X 41  = 123
  3 X 42  = 126
  3 X 43  = 129
  3 X 44  = 132
  3 X 45  = 135
  3 X 46  = 138
  3 X 47  = 141
  3 X 48  = 144
 
